rotation
Flowing Resolve Precast, Time: -1.322s
Flowing Resolve Precast, Time: -0.822s
Jurisdiction Lvl 3, Time: -0.322s
Rushing Justice, Time: 0.081s
Purging Flames, Time: 0.561s
Symbol of Ignition, Time: 0.882s
Hail of Justice, Time: 1.24s
Weapon Swap, Time: 2.201s
Peacekeeper, Time: 2.359s
Zealot's Flame, Time: 2.359s
Whirling Light, Time: 3.397s
Zealot's Fire, Time: 4.359s
Crashing Courage, Time: 5.04s
Zealot's Flame, Time: 5.122s
Zealot's Fire, Time: 5.722s
Through the Heart, Time: 6.401s
Symbol of Ignition, Time: 6.998s
Peacekeeper, Time: 7.359s
Rushing Justice, Time: 8.398s
Cleansing Flame, Time: 8.882s
Zealot's Flame, Time: 9.557s
Peacekeeper, Time: 11.518s
Zealot's Fire, Time: 12.558s
Weapon Swap, Time: 13.12s
Symbol of Ignition, Time: 13.358s
Hail of Justice, Time: 13.72s
Flowing Resolve, Time: 14.837s
Hail of Justice, Time: 15.517s
Rushing Justice, Time: 16.719s
Purging Flames, Time: 17.197s
Whirling Light, Time: 17.517s
Peacekeeper, Time: 18.478s
Through the Heart, Time: 19.518s
Symbol of Ignition, Time: 20.282s
Jurisdiction Lvl 3, Time: 20.639s
Through the Heart, Time: 22.439s
Hail of Justice, Time: 22.961s
Weapon Swap, Time: 23.881s
Peacekeeper, Time: 24.08s
Zealot's Flame, Time: 24.203s
Rushing Justice, Time: 25.121s
Zealot's Fire, Time: 25.598s
Crashing Courage, Time: 26.241s
Flowing Resolve, Time: 26.96s
Through the Heart, Time: 27.639s
Symbol of Ignition, Time: 28.281s
Zealot's Flame, Time: 28.518s
Zealot's Fire, Time: 28.681s
Peacekeeper, Time: 29.358s
Whirling Light, Time: 30.599s
Cleansing Flame, Time: 31.557s
Rushing Justice, Time: 34.117s
Purging Flames, Time: 34.601s
Zealot's Flame, Time: 34.639s
Zealot's Fire, Time: 34.922s
Weapon Swap, Time: 35.519s
Symbol of Ignition, Time: 35.719s
Peacekeeper, Time: 36.079s
Hail of Justice, Time: 37.118s
Jurisdiction Lvl 3, Time: 38.237s
Through the Heart, Time: 40.037s
Flowing Resolve, Time: 40.316s
Peacekeeper, Time: 41s
Through the Heart, Time: 42.039s
Rushing Justice, Time: 42.598s
Symbol of Ignition, Time: 43.239s
Whirling Light, Time: 43.679s
Hail of Justice, Time: 44.64s
Peacekeeper, Time: 45.76s
Hail of Justice, Time: 46.798s
Weapon Swap, Time: 47.838s
Crashing Courage, Time: 47.92s
Zealot's Flame, Time: 48.116s
Zealot's Fire, Time: 48.635s
Through the Heart, Time: 49.318s
Through the Heart, Time: 49.919s
Symbol of Ignition, Time: 50.478s
Rushing Justice, Time: 50.839s
Purging Flames, Time: 51.32s
Peacekeeper, Time: 51.638s
Zealot's Flame, Time: 52.236s
Zealot's Fire, Time: 52.679s
Flowing Resolve, Time: 53.359s
Cleansing Flame, Time: 53.878s
Peacekeeper, Time: 56.521s
Symbol of Ignition, Time: 57.557s
Whirling Light, Time: 57.918s
Zealot's Flame, Time: 58.477s
Zealot's Fire, Time: 58.876s
Weapon Swap, Time: 59.441s
Rushing Justice, Time: 59.558s
Hail of Justice, Time: 60.039s
Peacekeeper, Time: 61.159s
Jurisdiction Lvl 3, Time: 62.197s
Through the Heart, Time: 64.201s
Through the Heart, Time: 64.796s
Symbol of Ignition, Time: 65.436s
Flowing Resolve, Time: 66.036s
Peacekeeper, Time: 66.641s
Purging Flames, Time: 67.676s
Rushing Justice, Time: 68.117s
Hail of Justice, Time: 68.6s
Weapon Swap, Time: 69.562s
Crashing Courage, Time: 69.72s
Zealot's Flame, Time: 69.799s
Zealot's Fire, Time: 70.399s
Peacekeeper, Time: 71.075s
Symbol of Ignition, Time: 72.156s
Whirling Light, Time: 72.518s
Through the Heart, Time: 73.478s
Through the Heart, Time: 74.075s
Zealot's Flame, Time: 74.639s
Zealot's Fire, Time: 74.756s
Peacekeeper, Time: 75.436s
Rushing Justice, Time: 76.476s
Cleansing Flame, Time: 76.959s
Symbol of Ignition, Time: 79.517s
Flowing Resolve, Time: 79.997s
Peacekeeper, Time: 80.642s
Zealot's Flame, Time: 81.919s
Zealot's Fire, Time: 82.039s
Weapon Swap, Time: 82.639s
Jurisdiction Lvl 1, Time: 82.639s
Hail of Justice, Time: 83.319s
Purging Flames, Time: 84.437s
Rushing Justice, Time: 84.796s
Peacekeeper, Time: 85.358s
