rotation
Frost Trap, Time: -0.37s
One Wolf Pack, Time: -0.362s, Dur: 400ms
Sic 'Em!, Time: -0.362s
Path of Scars, Time: 0.038s, Dur: 432ms
Splitblade, Time: 0.47s, Dur: 608ms
Frenzied Attack, Time: 1.078s, Dur: 799ms
Winter's Bite, Time: 1.877s, Dur: 525ms
Whirling Defense, Time: 2.402s, Dur: 2676ms
Splitblade, Time: 5.078s, Dur: 601ms
Weapon Swap, Time: 5.678s, Dur: 0ms
Maul, Time: 5.793s, Dur: 765ms
Worldly Impact, Time: 6.558s, Dur: 688ms
Slash, Time: 7.246s, Dur: 400ms
Slice, Time: 7.646s, Dur: 608ms
Enduring Swing, Time: 8.254s, Dur: 784ms
Maul, Time: 9.166s, Dur: 784ms
Hilt Bash, Time: 9.95s, Dur: 640ms
Maul, Time: 10.75s, Dur: 848ms
Slash, Time: 11.598s, Dur: 400ms
Slice, Time: 11.998s, Dur: 592ms
Enduring Swing, Time: 12.59s, Dur: 800ms
Slash, Time: 13.39s, Dur: 404ms
Slice, Time: 13.794s, Dur: 592ms
Enduring Swing, Time: 14.386s, Dur: 768ms
Maul, Time: 15.154s, Dur: 691ms
AFK 100ms, Time: 0s
Weapon Swap, Time: 15.843s, Dur: 0ms
Winter's Bite, Time: 15.987s, Dur: 495ms
Splitblade, Time: 16.482s, Dur: 592ms
Path of Scars, Time: 17.074s, Dur: 464ms
Ricochet, Time: 17.538s, Dur: 576ms
Frenzied Attack, Time: 18.114s, Dur: 768ms
Ricochet, Time: 18.882s, Dur: 624ms
Ricochet, Time: 19.506s, Dur: 566ms
Ricochet, Time: 20.072s, Dur: 608ms
Ricochet, Time: 20.68s, Dur: 593ms
Ricochet, Time: 21.273s, Dur: 611ms
Ricochet, Time: 21.884s, Dur: 589ms
Ricochet, Time: 22.473s, Dur: 608ms
AFK 100ms, Time: 0s
Sic 'Em!, Time: 23.433s, Dur: 0ms
Splitblade, Time: 23.081s, Dur: 608ms
Frost Trap, Time: 23.689s, Dur: 595ms
Whirling Defense, Time: 24.284s, Dur: 2790ms
Winter's Bite, Time: 27.074s, Dur: 528ms
Path of Scars, Time: 27.602s, Dur: 432ms
Splitblade, Time: 28.034s, Dur: 566ms
Weapon Swap, Time: 28.599s, Dur: 0ms
Maul, Time: 28.757s, Dur: 800ms
Worldly Impact, Time: 29.557s, Dur: 679ms
Slash, Time: 30.236s, Dur: 400ms
Slice, Time: 30.636s, Dur: 593ms
Enduring Swing, Time: 31.229s, Dur: 799ms
Maul, Time: 32.028s, Dur: 848ms
Slash, Time: 32.876s, Dur: 400ms
Hilt Bash, Time: 33.388s, Dur: 657ms
Maul, Time: 34.045s, Dur: 833ms
Slash, Time: 34.878s, Dur: 401ms
Slice, Time: 35.279s, Dur: 591ms
Enduring Swing, Time: 35.87s, Dur: 800ms
Slash, Time: 36.67s, Dur: 400ms
