rotation
Barrage, Time: 0s
Point-Blank Shot, Time: 0s
Sic 'Em!, Time: 0s
Weapon Swap, Time: 0s
Pounce, Time: 0s
Serpent's Strike, Time: 0s
Path of Scars, Time: 0s
One Wolf Pack, Time: 0s
Frost Trap, Time: 0s
Worldly Impact, Time: 0s
Whirling Defense, Time: 0s
Pounce, Time: 0s
Frenzied Attack, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Serpent's Strike, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Path of Scars, Time: 0s
Pounce, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Serpent's Strike, Time: 0s
Pounce, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Path of Scars, Time: 0s
Sic 'Em!, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Pounce, Time: 0s
Serpent's Strike, Time: 0s
Frenzied Attack, Time: 0s
Whirling Defense, Time: 0s
Frost Trap, Time: 0s
Worldly Impact, Time: 0s
Pounce, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Path of Scars, Time: 0s
Serpent's Strike, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Pounce, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Serpent's Strike, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Path of Scars, Time: 0s
Pounce, Time: 0s
Frenzied Attack, Time: 0s
Sic 'Em!, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Whirling Defense, Time: 0s
Serpent's Strike, Time: 0s
Pounce, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Worldly Impact, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Path of Scars, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Pounce, Time: 0s
Serpent's Strike, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Pounce, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Path of Scars, Time: 0s
Serpent's Strike, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Frost Trap, Time: 0s
Sic 'Em!, Time: 0s
One Wolf Pack, Time: 0s
Pounce, Time: 0s
Whirling Defense, Time: 0s
Frenzied Attack, Time: 0s
Serpent's Strike, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Path of Scars, Time: 0s
Worldly Impact, Time: 0s
Pounce, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Serpent's Strike, Time: 0s
Pounce, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Path of Scars, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Pounce, Time: 0s
Serpent's Strike, Time: 0s
Frenzied Attack, Time: 0s
Sic 'Em!, Time: 0s
Slash, Time: 0s
Crippling Thrust, Time: 0s
Precision Swipe, Time: 0s
Frost Trap, Time: 0s
Whirling Defense, Time: 0s
Path of Scars, Time: 0s
Serpent's Strike, Time: 0s
