rotation
Barrage, Time: -1.532s, Dur: 1882ms
Frost Trap, Time: 0.35s, Dur: 484ms
Sic 'Em!, Time: 0.592s, Dur: 0ms
Point-Blank Shot, Time: 0.834s, Dur: 356ms
One Wolf Pack, Time: 1.232s, Dur: 322ms
Weapon Swap, Time: 1.553s, Dur: 0ms
Splitblade, Time: 1.673s, Dur: 599ms
Winter's Bite, Time: 2.272s, Dur: 518ms
Path of Scars, Time: 2.79s, Dur: 441ms
Worldly Impact, Time: 3.231s, Dur: 680ms
Whirling Defense, Time: 3.911s, Dur: 2639ms
Splitblade, Time: 6.55s, Dur: 598ms
Frenzied Attack, Time: 7.148s, Dur: 761ms
Ricochet, Time: 7.909s, Dur: 602ms
Ricochet, Time: 8.511s, Dur: 597ms
Ricochet, Time: 9.108s, Dur: 601ms
Winter's Bite, Time: 9.709s, Dur: 521ms
Ricochet, Time: 10.23s, Dur: 601ms
Ricochet, Time: 10.831s, Dur: 601ms
Splitblade, Time: 11.432s, Dur: 597ms
Ricochet, Time: 12.029s, Dur: 601ms
Ricochet, Time: 12.63s, Dur: 602ms
Path of Scars, Time: 13.232s, Dur: 438ms
Ricochet, Time: 13.67s, Dur: 601ms
Ricochet, Time: 14.271s, Dur: 600ms
Ricochet, Time: 14.871s, Dur: 598ms
Ricochet, Time: 15.469s, Dur: 600ms
Splitblade, Time: 16.069s, Dur: 602ms
Winter's Bite, Time: 16.711s, Dur: 361ms
Weapon Swap, Time: 17.071s, Dur: 0ms
Rapid Fire, Time: 17.191s, Dur: 1918ms
Long Range Shot, Time: 19.109s, Dur: 682ms
Long Range Shot, Time: 19.791s, Dur: 677ms
Long Range Shot, Time: 20.468s, Dur: 682ms
Long Range Shot, Time: 21.15s, Dur: 679ms
Long Range Shot, Time: 21.829s, Dur: 681ms
Long Range Shot, Time: 22.511s, Dur: 679ms
Point-Blank Shot, Time: 23.19s, Dur: 364ms
Barrage, Time: 23.554s, Dur: 1876ms
Frost Trap, Time: 25.469s, Dur: 519ms
Sic 'Em!, Time: 25.988s, Dur: 0ms
Worldly Impact, Time: 25.988s, Dur: 683ms
Frenzied Attack, Time: 26.671s, Dur: 757ms
Weapon Swap, Time: 27.474s, Dur: 0ms
Splitblade, Time: 27.632s, Dur: 557ms
Winter's Bite, Time: 28.189s, Dur: 519ms
Path of Scars, Time: 28.708s, Dur: 442ms
Whirling Defense, Time: 29.15s, Dur: 2682ms
Ricochet, Time: 31.832s, Dur: 598ms
Splitblade, Time: 32.43s, Dur: 601ms
Ricochet, Time: 33.031s, Dur: 600ms
Ricochet, Time: 33.631s, Dur: 597ms
Ricochet, Time: 34.228s, Dur: 600ms
Ricochet, Time: 34.828s, Dur: 600ms
Winter's Bite, Time: 35.428s, Dur: 521ms
Ricochet, Time: 35.949s, Dur: 602ms
Ricochet, Time: 36.551s, Dur: 598ms
Splitblade, Time: 37.149s, Dur: 601ms
Ricochet, Time: 37.75s, Dur: 599ms
Ricochet, Time: 38.349s, Dur: 600ms
Path of Scars, Time: 38.949s, Dur: 441ms
Ricochet, Time: 39.39s, Dur: 601ms
Ricochet, Time: 39.991s, Dur: 597ms
Ricochet, Time: 40.588s, Dur: 600ms
Ricochet, Time: 41.188s, Dur: 600ms
Splitblade, Time: 41.788s, Dur: 643ms
Winter's Bite, Time: 42.431s, Dur: 398ms
Weapon Swap, Time: 42.829s, Dur: 0ms
Rapid Fire, Time: 42.951s, Dur: 1918ms
Long Range Shot, Time: 44.869s, Dur: 682ms
Long Range Shot, Time: 45.551s, Dur: 680ms
Long Range Shot, Time: 46.231s, Dur: 681ms
Long Range Shot, Time: 46.912s, Dur: 680ms
Point-Blank Shot, Time: 47.592s, Dur: 357ms
Barrage, Time: 47.949s, Dur: 1884ms
Sic 'Em!, Time: 49.633s, Dur: 0ms
One Wolf Pack, Time: 49.91s, Dur: 400ms
Frost Trap, Time: 50.311s, Dur: 522ms
Worldly Impact, Time: 50.833s, Dur: 679ms
Frenzied Attack, Time: 51.548s, Dur: 763ms
Long Range Shot, Time: 52.311s, Dur: 643ms
AFK 100ms, Time: 0s
AFK 50ms, Time: 0s
Weapon Swap, Time: 52.954s, Dur: 0ms
Splitblade, Time: 53.113s, Dur: 597ms
Winter's Bite, Time: 53.71s, Dur: 519ms
Path of Scars, Time: 54.229s, Dur: 442ms
Whirling Defense, Time: 54.671s, Dur: 2719ms
Ricochet, Time: 57.39s, Dur: 599ms
Splitblade, Time: 57.989s, Dur: 603ms
Ricochet, Time: 58.592s, Dur: 600ms
Ricochet, Time: 59.192s, Dur: 598ms
Ricochet, Time: 59.79s, Dur: 599ms
Ricochet, Time: 60.389s, Dur: 604ms
Winter's Bite, Time: 60.993s, Dur: 517ms
Ricochet, Time: 61.51s, Dur: 599ms
Ricochet, Time: 62.109s, Dur: 601ms
Splitblade, Time: 62.71s, Dur: 600ms
Ricochet, Time: 63.31s, Dur: 599ms
Ricochet, Time: 63.909s, Dur: 601ms
Path of Scars, Time: 64.51s, Dur: 439ms
Ricochet, Time: 64.949s, Dur: 600ms
Ricochet, Time: 65.549s, Dur: 601ms
Ricochet, Time: 66.15s, Dur: 601ms
Ricochet, Time: 66.751s, Dur: 600ms
Splitblade, Time: 67.351s, Dur: 599ms
Winter's Bite, Time: 67.99s, Dur: 442ms
Weapon Swap, Time: 68.432s, Dur: 0ms
Long Range Shot, Time: 68.629s, Dur: 684ms
Long Range Shot, Time: 69.313s, Dur: 678ms
Long Range Shot, Time: 69.991s, Dur: 677ms
Long Range Shot, Time: 70.668s, Dur: 681ms
Long Range Shot, Time: 71.349s, Dur: 681ms
Long Range Shot, Time: 72.03s, Dur: 680ms
Point-Blank Shot, Time: 72.71s, Dur: 361ms
Barrage, Time: 73.071s, Dur: 1881ms
Sic 'Em!, Time: 74.631s, Dur: 0ms
Frost Trap, Time: 75.03s, Dur: 519ms
Worldly Impact, Time: 75.549s, Dur: 684ms
Frenzied Attack, Time: 76.233s, Dur: 759ms
Rapid Fire, Time: 76.992s, Dur: 1919ms
Weapon Swap, Time: 78.953s, Dur: 0ms
Splitblade, Time: 79.069s, Dur: 564ms
Winter's Bite, Time: 79.633s, Dur: 515ms
Path of Scars, Time: 80.148s, Dur: 440ms
Whirling Defense, Time: 80.588s, Dur: 2764ms
Ricochet, Time: 83.352s, Dur: 599ms
Splitblade, Time: 83.951s, Dur: 600ms
Ricochet, Time: 84.551s, Dur: 602ms
Ricochet, Time: 85.153s, Dur: 596ms
Ricochet, Time: 85.749s, Dur: 601ms
Ricochet, Time: 86.35s, Dur: 602ms
Winter's Bite, Time: 86.952s, Dur: 516ms
Ricochet, Time: 87.468s, Dur: 602ms
Ricochet, Time: 88.07s, Dur: 601ms
Splitblade, Time: 88.671s, Dur: 601ms
Ricochet, Time: 89.272s, Dur: 598ms
Ricochet, Time: 89.87s, Dur: 599ms
Path of Scars, Time: 90.469s, Dur: 402ms
Weapon Swap, Time: 90.871s, Dur: 0ms
Rapid Fire, Time: 90.99s, Dur: 1922ms
Long Range Shot, Time: 92.912s, Dur: 679ms
Long Range Shot, Time: 93.591s, Dur: 682ms
Long Range Shot, Time: 94.273s, Dur: 680ms
Long Range Shot, Time: 94.953s, Dur: 676ms
Long Range Shot, Time: 95.629s, Dur: 679ms
Point-Blank Shot, Time: 96.308s, Dur: 361ms
Barrage, Time: 96.669s, Dur: 1881ms
Sic 'Em!, Time: 97.43s, Dur: 0ms
AFK 100ms, Time: 98.55s, Dur: 403ms
One Wolf Pack, Time: 98.55s, Dur: 403ms
Worldly Impact, Time: 98.953s, Dur: 678ms
Frost Trap, Time: 99.631s, Dur: 600ms
Frenzied Attack, Time: 100.231s, Dur: 761ms
AFK 50ms, Time: 0s
Weapon Swap, Time: 100.991s, Dur: 0ms
Splitblade, Time: 101.109s, Dur: 640ms
Winter's Bite, Time: 101.749s, Dur: 524ms
Path of Scars, Time: 102.273s, Dur: 437ms
Whirling Defense, Time: 102.71s, Dur: 2601ms
