rotation
Purging Flames, Time: -0.277s, Dur: 320ms
Symbol of Vengeance, Time: 0.043s, Dur: 800ms
Zealot's Flame, Time: 0.043s, Dur: 0ms
Zealot's Fire, Time: 0.843s, Dur: 672ms
Zealot's Fire, Time: 1.515s, Dur: 688ms
Blazing Edge, Time: 2.203s, Dur: 512ms
Core Cleave, Time: 2.715s, Dur: 640ms
Bleeding Edge, Time: 3.355s, Dur: 688ms
Searing Slash, Time: 4.043s, Dur: 640ms
Core Cleave, Time: 4.683s, Dur: 640ms
Bleeding Edge, Time: 5.323s, Dur: 672ms
Searing Slash, Time: 5.995s, Dur: 640ms
Core Cleave, Time: 6.635s, Dur: 640ms
Bleeding Edge, Time: 7.275s, Dur: 688ms
Searing Slash, Time: 7.963s, Dur: 640ms
Core Cleave, Time: 8.603s, Dur: 640ms
Bleeding Edge, Time: 9.243s, Dur: 672ms
Searing Slash, Time: 9.915s, Dur: 688ms
Zealot's Flame, Time: 10.203s, Dur: 0ms
Zealot's Flame, Time: 10.283s, Dur: 0ms
Symbol of Vengeance, Time: 10.603s, Dur: 800ms
Zealot's Fire, Time: 11.403s, Dur: 672ms
Zealot's Fire, Time: 12.075s, Dur: 688ms
Blazing Edge, Time: 12.763s, Dur: 512ms
Core Cleave, Time: 13.275s, Dur: 640ms
Bleeding Edge, Time: 13.915s, Dur: 688ms
Searing Slash, Time: 14.603s, Dur: 640ms
Core Cleave, Time: 15.243s, Dur: 640ms
Bleeding Edge, Time: 15.883s, Dur: 672ms
Searing Slash, Time: 16.555s, Dur: 640ms
Core Cleave, Time: 17.195s, Dur: 48ms
Purging Flames, Time: 17.243s, Dur: 320ms
Core Cleave, Time: 17.563s, Dur: 640ms
Bleeding Edge, Time: 18.203s, Dur: 672ms
Searing Slash, Time: 18.875s, Dur: 640ms
Core Cleave, Time: 19.515s, Dur: 768ms
Zealot's Flame, Time: 20.155s, Dur: 0ms
Bleeding Edge, Time: 20.283s, Dur: 672ms
Zealot's Flame, Time: 20.555s, Dur: 0ms
Searing Slash, Time: 20.955s, Dur: 640ms
Symbol of Vengeance, Time: 21.595s, Dur: 800ms
Zealot's Fire, Time: 22.395s, Dur: 688ms
Zealot's Fire, Time: 23.083s, Dur: 672ms
Blazing Edge, Time: 23.755s, Dur: 528ms
Core Cleave, Time: 24.283s, Dur: 640ms
Bleeding Edge, Time: 24.923s, Dur: 672ms
Searing Slash, Time: 25.595s, Dur: 640ms
Core Cleave, Time: 26.235s, Dur: 640ms
Bleeding Edge, Time: 26.875s, Dur: 688ms
Searing Slash, Time: 27.563s, Dur: 640ms
Core Cleave, Time: 28.203s, Dur: 640ms
Bleeding Edge, Time: 28.843s, Dur: 672ms
Searing Slash, Time: 29.515s, Dur: 640ms
Core Cleave, Time: 30.155s, Dur: 160ms
Zealot's Flame, Time: 30.203s, Dur: 0ms
Symbol of Vengeance, Time: 30.315s, Dur: 800ms
Zealot's Fire, Time: 31.115s, Dur: 688ms
Zealot's Flame, Time: 31.595s, Dur: 0ms
Zealot's Fire, Time: 31.803s, Dur: 672ms
Core Cleave, Time: 32.475s, Dur: 640ms
Bleeding Edge, Time: 33.115s, Dur: 688ms
Searing Slash, Time: 33.803s, Dur: 672ms
Purging Flames, Time: 34.475s, Dur: 320ms
Blazing Edge, Time: 34.795s, Dur: 528ms
Core Cleave, Time: 35.323s, Dur: 640ms
Bleeding Edge, Time: 35.963s, Dur: 672ms
Searing Slash, Time: 36.635s, Dur: 640ms
Core Cleave, Time: 37.275s, Dur: 640ms
Bleeding Edge, Time: 37.915s, Dur: 688ms
Searing Slash, Time: 38.603s, Dur: 640ms
Core Cleave, Time: 39.243s, Dur: 640ms
Bleeding Edge, Time: 39.883s, Dur: 1200ms
Zealot's Flame, Time: 40.283s, Dur: 0ms
