rotation
Sword of Justice, Time: -0.366s, Dur: 600ms
Procession of Blades, Time: -0.366s, Dur: 434ms
Spear of Justice, Time: -0.366s, Dur: 566ms
Ray of Judgment, Time: 0.2s, Dur: 484ms
Symbol of Blades, Time: 0.684s, Dur: 550ms
Shield of Wrath, Time: 0.717s, Dur: 0ms
Zealot's Defense, Time: 1.234s, Dur: 1171ms
Weapon Swap, Time: 2.405s, Dur: 0ms
Symbol of Resolution, Time: 2.524s, Dur: 236ms
Weapon Draw, Time: 2.76s, Dur: 34ms
Whirling Wrath, Time: 2.794s, Dur: 1454ms
Sword of Justice, Time: 4.248s, Dur: 600ms
Dragon's Maw, Time: 4.848s, Dur: 431ms
Strike, Time: 5.279s, Dur: 399ms
Binding Blade, Time: 5.767s, Dur: 511ms
Weapon Draw, Time: 6.278s, Dur: 51ms
Sword of Justice, Time: 6.329s, Dur: 598ms
Strike, Time: 6.927s, Dur: 401ms
Vengeful Strike, Time: 7.328s, Dur: 599ms
Wrathful Strike, Time: 7.927s, Dur: 667ms
Strike, Time: 8.594s, Dur: 400ms
Vengeful Strike, Time: 8.994s, Dur: 599ms
Wrathful Strike, Time: 9.593s, Dur: 681ms
Strike, Time: 10.274s, Dur: 400ms
Symbol of Resolution, Time: 10.724s, Dur: 236ms
Weapon Draw, Time: 10.96s, Dur: 34ms
Whirling Wrath, Time: 10.994s, Dur: 1479ms
Weapon Swap, Time: 12.523s, Dur: 0ms
Zealot's Defense, Time: 12.606s, Dur: 1148ms
Symbol of Blades, Time: 13.754s, Dur: 566ms
Sword of Wrath, Time: 14.32s, Dur: 367ms
Sword Arc, Time: 14.687s, Dur: 517ms
Sword Wave, Time: 15.204s, Dur: 599ms
Procession of Blades, Time: 15.803s, Dur: 434ms
Spear of Justice, Time: 16.237s, Dur: 565ms
Ray of Judgment, Time: 16.802s, Dur: 567ms
Sword of Justice, Time: 17.369s, Dur: 599ms
Sword of Wrath, Time: 17.968s, Dur: 348ms
Sword Arc, Time: 18.316s, Dur: 518ms
Sword Wave, Time: 18.834s, Dur: 682ms
Sword of Wrath, Time: 19.516s, Dur: 366ms
Sword Arc, Time: 19.882s, Dur: 517ms
Sword Wave, Time: 20.399s, Dur: 684ms
Symbol of Blades, Time: 21.083s, Dur: 565ms
Sword of Wrath, Time: 21.648s, Dur: 353ms
Sword Arc, Time: 22.001s, Dur: 512ms
Sword Wave, Time: 22.513s, Dur: 686ms
Sword of Wrath, Time: 23.199s, Dur: 364ms
Zealot's Defense, Time: 23.645s, Dur: 1233ms
Weapon Swap, Time: 24.878s, Dur: 0ms
Symbol of Resolution, Time: 24.995s, Dur: 250ms
Weapon Draw, Time: 25.245s, Dur: 32ms
Whirling Wrath, Time: 25.277s, Dur: 1484ms
Strike, Time: 26.761s, Dur: 400ms
Binding Blade, Time: 27.194s, Dur: 533ms
Weapon Draw, Time: 27.727s, Dur: 33ms
Leap of Faith, Time: 27.76s, Dur: 715ms
Strike, Time: 28.475s, Dur: 399ms
Vengeful Strike, Time: 28.874s, Dur: 599ms
Wrathful Strike, Time: 29.473s, Dur: 685ms
Strike, Time: 30.158s, Dur: 400ms
Vengeful Strike, Time: 30.558s, Dur: 598ms
Wrathful Strike, Time: 31.156s, Dur: 682ms
Strike, Time: 31.838s, Dur: 401ms
Sword of Justice, Time: 32.273s, Dur: 614ms
Procession of Blades, Time: 32.887s, Dur: 434ms
Spear of Justice, Time: 33.321s, Dur: 566ms
Symbol of Resolution, Time: 33.887s, Dur: 234ms
Weapon Draw, Time: 34.121s, Dur: 34ms
Whirling Wrath, Time: 34.155s, Dur: 1481ms
Weapon Swap, Time: 35.636s, Dur: 0ms
Zealot's Defense, Time: 35.719s, Dur: 1282ms
Shield of Wrath, Time: 36.118s, Dur: 0ms
Weapon Draw, Time: 37.001s, Dur: 33ms
Ray of Judgment, Time: 37.034s, Dur: 535ms
Symbol of Blades, Time: 37.569s, Dur: 547ms
Sword of Wrath, Time: 38.116s, Dur: 367ms
Sword Arc, Time: 38.483s, Dur: 516ms
Sword Wave, Time: 38.999s, Dur: 683ms
Sword of Wrath, Time: 39.682s, Dur: 368ms
Sword Arc, Time: 40.05s, Dur: 515ms
Sword Wave, Time: 40.565s, Dur: 682ms
Sword of Wrath, Time: 41.247s, Dur: 350ms
Sword Arc, Time: 41.597s, Dur: 533ms
