rotation
Sword of Justice, Time: -1.100s, Dur: 672ms
Ray of Judgment, Time: -0.517s, Dur: 672ms
Shield of Wrath, Time: 0.043s, Dur: 0ms
Smite Condition, Time: 0.075s, Dur: 0ms
Symbol of Blades, Time: 0.155s, Dur: 560ms
Zealot's Defense, Time: 0.715s, Dur: 1280ms
Weapon Swap, Time: 1.995s, Dur: 0ms
Symbol of Resolution, Time: 2.203s, Dur: 320ms
Whirling Wrath, Time: 2.763s, Dur: 1312ms
Sword of Justice, Time: 4.075s, Dur: 608ms
Binding Blade, Time: 4.683s, Dur: 592ms
Leap of Faith, Time: 5.323s, Dur: 880ms
Strike, Time: 6.203s, Dur: 400ms
Vengeful Strike, Time: 6.603s, Dur: 592ms
Wrathful Strike, Time: 7.195s, Dur: 688ms
Strike, Time: 7.883s, Dur: 400ms
Vengeful Strike, Time: 8.283s, Dur: 592ms
Wrathful Strike, Time: 8.875s, Dur: 640ms
Sword of Justice, Time: 9.515s, Dur: 608ms
Strike, Time: 10.123s, Dur: 352ms
Symbol of Resolution, Time: 10.475s, Dur: 368ms
Whirling Wrath, Time: 11.035s, Dur: 1440ms
Weapon Swap, Time: 12.475s, Dur: 0ms
Zealot's Defense, Time: 12.795s, Dur: 1280ms
Symbol of Blades, Time: 14.075s, Dur: 560ms
Sword of Wrath, Time: 14.635s, Dur: 368ms
Sword Arc, Time: 15.003s, Dur: 512ms
Sword Wave, Time: 15.515s, Dur: 688ms
Sword of Wrath, Time: 16.203s, Dur: 32ms
Sword of Justice, Time: 16.235s, Dur: 608ms
Ray of Judgment, Time: 16.843s, Dur: 672ms
Smite Condition, Time: 17.035s, Dur: 0ms
Sword of Wrath, Time: 17.515s, Dur: 368ms
Sword Arc, Time: 17.883s, Dur: 512ms
Sword Wave, Time: 18.395s, Dur: 688ms
Sword of Wrath, Time: 19.083s, Dur: 352ms
Sword Arc, Time: 19.435s, Dur: 528ms
Sword Wave, Time: 19.963s, Dur: 672ms
Sword of Wrath, Time: 20.635s, Dur: 368ms
Sword Arc, Time: 21.003s, Dur: 512ms
Sword Wave, Time: 21.515s, Dur: 720ms
Symbol of Blades, Time: 22.235s, Dur: 560ms
Sword of Wrath, Time: 22.795s, Dur: 368ms
Sword Arc, Time: 23.163s, Dur: 512ms
Sword Wave, Time: 23.675s, Dur: 688ms
Zealot's Defense, Time: 24.363s, Dur: 1232ms
Weapon Swap, Time: 25.595s, Dur: 0ms
Symbol of Resolution, Time: 25.803s, Dur: 352ms
Whirling Wrath, Time: 26.283s, Dur: 1440ms
Binding Blade, Time: 27.723s, Dur: 480ms
Strike, Time: 28.235s, Dur: 400ms
Vengeful Strike, Time: 28.635s, Dur: 608ms
Wrathful Strike, Time: 29.243s, Dur: 672ms
Strike, Time: 29.915s, Dur: 400ms
Vengeful Strike, Time: 30.315s, Dur: 608ms
Wrathful Strike, Time: 30.923s, Dur: 672ms
Leap of Faith, Time: 31.595s, Dur: 880ms
Sword of Justice, Time: 32.475s, Dur: 768ms
Smite Condition, Time: 33.083s, Dur: 0ms
Whirling Wrath, Time: 33.243s, Dur: 1472ms
Strike, Time: 34.715s, Dur: 48ms
Symbol of Resolution, Time: 34.763s, Dur: 320ms
Weapon Swap, Time: 35.963s, Dur: 0ms
Sword of Wrath, Time: 36.155s, Dur: 368ms
